HD ID,Main ID,HIP ID,HR ID,RA,DEC,Spectral Type,GAIA,GAIA or Hipparcos,Mag,Mag error,LD Diameter [mas],LD Diameter error [mas],Bolometric Flux [10^(-8) erg/s cm^2],Bolometric Flux Error,Bolometric Absolute Magnitude,Parallax [mas],Parallax Error,Distance [pc],Distance error,Radius [R_sun],Radius error,Teff [K],Teff error,Luminosity [L_sun],Luminosity error,Methods of Measurement,Exoplanet Host?,Diameter Sources,Bolometric Flux Sources,ra_deg,dec_deg
HD28292,*  75 Tau,HIP 20877,HR  1407,04 28 26.3699,+16 21 34.829,K1IIIb,Gaia DR3 3312910967798031360,GAIA,4.623151,0.002861,1.927,0.057,49.1,0.6,,16.803,0.1038,59.51318217,0.367640797,12.35140471,0.3732326483,4464.069315,67.41661027,54.28832367,0.94338653,"Lunar Occ, Lunar Occ, Lunar Occ",Not a host,https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf,Diameter source,67.10987458333334,16.359674722222223
HD27371,* gam Tau,HIP 20205,HR  1346,04 19 47.6039,+15 37 39.511,G9.5IIIabCN0.5,Gaia DR3 3312052249215275904,GAIA,3.402757,0.003073,2.517,0.033,116.0,3.0,,21.6645,0.1831,46.158462,0.390113522,12.51284342,0.1951859491,4842.552115,44.58738554,77.15414144,2.383758023,"Lunar Occ, Lunar Occ, Opt Int",Not a host,2009ApJ...691.1243B,Boyajian et al. (2009),64.94834958333333,15.627641944444445
HD96274,HD  96274,HIP 54260,,11 06 02.2397,+01 12 38.395,M2III,Gaia DR3 3805202352647631744,GAIA,6.110952,0.002906,1.998,0.04,19.8,0.7,,3.3344,0.0277,299.9040307,2.491405246,64.53558505,1.398819974,3493.574181,46.65162165,555.940598,21.7167232,Lunar Occ,Not a host,"1980AJ.....85.1505B, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf",Diameter source,166.5093320833333,1.2106652777777778
HD74442,* del Cnc,HIP 42911,HR  3461,08 44 41.0991,+18 09 15.509,K0+IIIb,Gaia DR3 660136821288588416,GAIA,3.637357,0.002901,2.553868613,0.019029846,98.68965517,0.742781353,,23.8271,0.1853,41.96901847,0.326387144,11.54380091,0.1243319364,4617.108137,19.27122466,54.26600503,0.9376647281,Lunar Occ,Not a host,"https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf, https://iopscience.iop.org/article/10.3847/1538-3881/ac2431/pdf",Diameter source,131.17124624999997,18.154308055555553
HD158377,V* TW Oph,HIP 85617,,17 29 43.6639,-19 28 22.866,C-N5,Gaia DR3 4121695984487449600,GAIA,6.033197,0.003696,9.46,0.003,,,-5.12,1.7197,0.083,581.4967727,28.06549522,592.4611948,28.59530188,2338.7,0.0,9464.8,,"Lunar Occ, Opt Int",Not a host,2013MNRAS.434..437C,2022A&A..664A.45A,262.43193291666665,-19.473018333333332
HD27697,* del Tau,HIP 20455,"** CHR  262, HR  1373",04 22 56.0951,+17 32 33.049,G9.5IIICN0.5,Gaia DR3 3314024566919613952,GAIA,3.516044,0.002959,2.301979769,0.026611365,102.0,1.1,,20.3092,0.2276,49.23876864,0.551806262,12.20759608,0.1965496946,4903.438192,31.27395849,77.19925925,1.920176732,"Lunar Occ, Lunar Occ, Opt Int, Opt Int",Not a host,"1987SvAL...13..379T, 2003AJ....126.2502M, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf",Diameter source,65.73372958333331,17.54251361111111
HD27962,* del03 Tau,HIP 20648,HR  1389,04 25 29.3847,+17 55 40.463,A2IV-Vs,Gaia DR3 3314063977537054208,GAIA,4.295662,0.002933,0.538,0.013,66.23,1.649,,21.0865,0.1381,47.42370711,0.310588004,2.747889347,0.068794454,9104.874515,123.7439777,46.49907877,1.308173155,"Lunar Occ, Opt Int",Not a host,"1987SvAL...13..379T, 2021A&A...652A..26S",2017AJ…153…16S,66.37243625,17.92790638888889
HD3546,* eps And,HIP 3031,HR   163,00 38 33.3474,+29 18 42.311,G7IIIFe-3CH1,Gaia DR3 2858181236614036864,GAIA,4.09683,0.003,1.742652819,0.039220899,68.8,1.2,,19.2451,0.1188,51.96127846,0.320756966,9.752414826,0.2275983505,5107.320202,61.63766149,57.98914272,1.239180908,"Opt Int, Opt Int",Not a host,"1989ApJ...340.1103H, 1999AJ....118.3032N, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf",Diameter source,9.638947499999999,29.311753055555556
HD185958,* bet Sge,HIP 96837,HR  7488,19 41 02.9389,+17 28 33.752,G8IIIaCN0.5,Gaia DR3 1823991938314881152,GAIA,4.113627,0.002842,1.768427787,0.011800586,58.8,0.7,,7.3764,0.109,135.5674855,2.0032612,25.82048146,0.4186450086,4874.746994,21.79491263,337.354884,10.74858,"Opt Int, Opt Int",Not a host,"1989ApJ...340.1103H, 2009MNRAS.394.1925V, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf",Diameter source,295.2622454166666,17.47604222222222
HD203504,*   1 Peg,HIP 105502,HR  8173,21 22 05.1994,+19 48 16.237,K1III,Gaia DR3 1790202365373760256,GAIA,3.772009,0.002922,2.315,0.016263456,89.0,4.0,,20.8482,0.1452,47.96577163,0.334063854,11.95924865,0.1183060612,4725.779104,55.63292334,63.92216439,3.0077204,"Opt Int, Opt Int, Opt Int",Not a host,"2018AJ....155...30B, https://ui.adsabs.harvard.edu/abs/2018yCat..51550030B/abstract",Diameter source,320.52166416666665,19.80451027777778
HD169414,* 109 Her,HIP 90139,HR  6895,18 23 41.8897,+21 46 11.109,K2IIIab,Gaia DR3 4529285391533766400,GAIA,3.487343,0.002831,3.001246537,0.015184188,126.0,6.0,,26.9636,0.1049,37.08703586,0.144284519,11.98795934,0.076509011,4527.341074,55.10026475,54.10200844,2.61045161,"Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"2011A&A...535A..59B, 2018AJ....155...30B, https://ui.adsabs.harvard.edu/abs/2018yCat..51550030B/abstract",Diameter source,275.9245404166667,21.7697525
HD9927,* ups Per,HIP 7607,HR   464,01 37 59.5580,+48 37 41.563,K3-IIICN0.5,Gaia DR3 399402894487590144,GAIA,3.209563,0.003165,3.648754881,0.004920431,167.3254015,1.756097561,,18.5489,0.1999,53.91155271,0.581000458,21.18595249,0.2300998361,4407.776226,11.94078694,151.8183092,3.639573429,"Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"1989ApJ...340.1103H, 1999AJ....118.3032N, 2018AJ....155...30B, https://ui.adsabs.harvard.edu/abs/2018yCat..51550030B/abstract, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf",Diameter source,24.498158333333333,48.628211944444445
HD19787,* del Ari,HIP 14838,HR   951,03 11 37.7665,+19 43 36.023,G9.5IIIb,Gaia DR3 60248877811546112,GAIA,4.064342,0.00314,1.811,0.045,60.0,0.5,,19.7731,0.1592,50.5737593,0.407186657,9.864274575,0.2576549055,4841.500724,60.99098092,47.9071482,0.868614739,"Opt Int, Opt Int",Not a host,"1989ApJ...340.1103H, 1999AJ....118.3032N, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf",Diameter source,47.907360416666656,19.726673055555555
HD216131,* mu. Peg,HIP 112748,HR  8684,22 50 00.1930,+24 36 05.692,G8+III,Gaia DR3 1876510592179455744,GAIA,3.274584,0.00304,2.479707528,0.02732733,127.1036214,1.609513666,,28.934,0.1887,34.56141564,0.225400537,9.230249669,0.118198366,4991.610212,31.72096488,47.39576796,0.8616180354,"Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"1999AJ....118.3032N, 2003AJ....126.2502M, https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf, https://iopscience.iop.org/article/10.3847/1538-3881/ac2431/pdf",Diameter source,342.50080416666657,24.601581111111113
HD183439,* alf Vul,HIP 95771,HR  7405,19 28 42.3299,+24 39 53.661,M0.5IIIb,Gaia DR3 2022881668925464320,GAIA,3.741117,0.002894,4.40794382,0.01349157,160.0,8.0,,11.2238,0.1129,89.09638447,0.89621891,42.29778218,0.4447330603,3965.64089,49.94063573,396.4959343,21.36937436,"Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"1989ApJ...340.1103H, 2003AJ....126.2502M, 2018AJ....155...30B, https://ui.adsabs.harvard.edu/abs/2018yCat..51550030B/abstract",Diameter source,292.1763745833333,24.664905833333332
HD4502,* zet And,HIP 3693,HR   215,00 47 20.3257,+24 16 01.842,K1III+KV,Gaia DR3 2804918316384272128,GAIA,3.760469,0.003457,2.502,0.008,91.9,4.595,,18.0083,0.1604,55.52995008,0.494605487,14.96359873,0.1416084304,4582.332921,57.74574221,88.46442759,4.695568885,"Opt Int, Opt Int",Not a host,"1989ApJ...340.1103H, 2016Natur.533..217R",2018A&A..614A.125F,11.834690416666666,24.267178333333334
HD192909,* omi02 Cyg,HIP 99848,HR  7751,20 15 28.3242,+47 42 51.213,K7Ib-II+B1V,Gaia DR3 2084154943646648320,GAIA,3.317127,0.003131,5.547401146,0.014452769,194.0,7.0,,3.2558,0.189,307.1441735,17.82979568,183.5072885,10.66336693,3709.428977,33.80844579,5713.271815,694.6095797,"Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"2003AJ....126.2502M, https://iopscience.iop.org/article/10.3847/1538-3881/ac2431/pdf",Diameter source,303.86801749999995,47.71422583333334
HD192577,*  31 Cyg,HIP 99675,HR  7735,20 13 37.9082,+46 44 28.761,K3Ib+B2IV-V,Gaia DR3 2082600852679281408,GAIA,3.282255,0.00304,4.362,0.044,233.0,11.65,,2.9167,0.1327,342.8532245,15.59866387,161.0702618,7.506103367,4379.228065,59.02827077,8550.096018,887.7194903,"Opt Int, Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"1996AJ....111.1705D, 2003AJ....126.2502M",assigned a 5% error,303.4079508333333,46.7413225
HD40239,* pi. Aur,HIP 28404,HR  2091,05 59 56.0979,+45 56 12.245,M3IIb,Gaia DR3 196944217825405184,GAIA,3.088297,0.00391,9.558,0.096,451.0,22.55,,4.5154,0.241,221.4643221,11.82019348,227.9776447,12.38140566,3489.490627,47.00723298,6905.302029,813.9668965,"Opt Int, Opt Int, Opt Int",Not a host,2003AJ....126.2502M,assigned a 5% error,89.98374125,45.93673472222222
HD110914,V* Y CVn,HIP 62223,HR  4846,12 45 07.8260,+45 26 24.926,C-N5,Gaia DR3 1542553623374596352,GAIA,3.957619,0.003391,12.81598399,0.2460380863,,,-4.64,3.2222,0.1744,310.3469679,16.79737794,428.371854,24.60069257,2417.692323,0.0,5650.824773,0.0,"Opt Int, Opt Int, Opt Int",Not a host,"1994A&A...285..541Q, 1997AJ....112.294D",2002A&A…390…967B,191.28260833333331,45.44025722222222
HD78712,V* RS Cnc,HIP 45058,HR  3639,09 10 38.7970,+30 57 47.291,M6S,Gaia DR3 699870869414974336,GAIA,3.36875,0.008626,17.2,0.4,747.0,74.7,,6.649,0.4946,150.3985562,11.18771633,278.6079976,21.71405276,2950.987302,81.36424924,5274.806471,945.5563699,"Opt Int, Opt Int, Opt Int, Opt Int",Not a host,1995AJ....109..378D,Diameter source,137.66165416666664,30.963136388888888
HD126327,V* RX Boo,HIP 70401,,14 24 11.6253,+25 42 13.394,M7.5-M8,Gaia DR3 1256239111870681600,GAIA,4.370626,0.009083,18.77641509,0.4370786381,885.0,15.0,,6.4239,0.2312,155.6686748,5.602608635,314.8004692,13.49312625,2946.665867,36.49843937,6694.903501,495.0864724,"Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"1995AJ....109..378D, 1996AJ....111.1705D",Diameter source,216.04843874999997,25.703720555555556
HD172380,V* XY Lyr,HIP 91373,HR  7009,18 38 06.4762,+39 40 05.975,M4.5-M5+II,Gaia DR3 2098074279806975488,GAIA,4.229909,0.006111,6.9,0.3,226.0,15.0,,2.3986,0.0964,416.9098641,16.75565367,309.8223376,18.34400523,3455.444947,94.49961543,12262.84884,1278.291276,"Opt Int, Opt Int",Not a host,1996AJ....111.1705D,Diameter source,279.52698416666664,39.668326388888886
HD142143,V* ST Her,HIP 77619,,15 50 46.6232,+48 28 58.850,M6S-M7SIII:,Gaia DR3 1402893450252244224,GAIA,4.64931,0.008648,9.5,0.3,372.0,15.0,,3.3981,0.1154,294.2820988,9.993865455,301.0987239,13.96306819,3335.610606,62.48613567,10057.01791,794.3821176,"Opt Int, Opt Int, Opt Int, Opt Int",Not a host,1996AJ....111.1705D,Diameter source,237.69426333333334,48.48301388888889
HD139216,* tau04 Ser,HIP 76423,,15 36 28.1826,+15 06 05.239,M5IIIa,Gaia DR3 1195189725172268288,GAIA,4.251103,0.009949,10.0,0.3,420.0,15.0,,4.5628,0.2728,219.1636714,13.10332462,236.0424056,15.78943204,3351.303316,58.501066,6297.744231,785.928657,"Opt Int, Opt Int, Opt Int",Not a host,1996AJ....111.1705D,Diameter source,234.11742749999996,15.101455277777777
HD130144,V* EK Boo,HIP 72208,HR  5512,14 46 05.9426,+15 07 54.411,M5+IIIab,Gaia DR3 1186417202929896960,GAIA,3.827463,0.007572,8.1,0.4,382.0,15.0,,5.1084,0.3009,195.7560097,11.53061298,170.7739358,13.12652287,3636.425922,96.62441597,4569.747087,567.4614765,"Opt Int, Opt Int",Not a host,1996AJ....111.1705D,Diameter source,221.52476083333335,15.131780833333334
HD196610,V* EU Del,HIP 101810,HR  7886,20 37 54.7276,+18 16 06.894,M6III,Gaia DR3 1812371096773414144,GAIA,3.792551,0.004206,9.9,0.4,503.0,15.0,,8.4315,0.2847,118.6028583,4.00477184,126.4596033,6.658845689,3523.512469,75.87445772,2208.802527,163.0618542,"Opt Int, Opt Int, Opt Int",Not a host,1996AJ....111.1705D,Diameter source,309.47803166666665,18.268581666666666
HD205730,V* W Cyg,HIP 106642,HR  8262,21 36 02.4974,+45 22 28.523,M4e-M6eIII,Gaia DR3 1977100856572910336,GAIA,3.531106,0.013247,11.8,0.4,588.0,15.0,,5.176,0.2467,193.1993818,9.208324475,245.5326237,14.36059159,3355.867008,60.77241931,6851.527184,676.1018531,"Opt Int, Opt Int",Not a host,1996AJ....111.1705D,Diameter source,324.0104058333333,45.374589722222225
HD144205,V* X Her,HIP 78574,,16 02 39.1730,+47 14 25.265,M6III,Gaia DR3 1398822783330261248,GAIA,3.658457,0.013713,12.4,0.4,605.0,15.0,,8.1621,0.2511,122.5174894,3.769145389,163.6218274,7.293598058,3297.079467,56.97036467,2834.98096,188.0608021,"Opt Int, Opt Int",Not a host,1996AJ....111.1705D,Diameter source,240.66322083333336,47.24035138888889
HD32736,V* W Ori,HIP 23680,HR  1648,05 05 23.7190,+01 10 39.454,C-N5,Gaia DR3 3228743421412376704,GAIA,4.575784,0.009465,9.63,0.004,334.0,50.1,,2.0398,0.1585,490.2441416,38.09378196,508.4639473,39.51009269,3224.964118,120.9380091,25059.35486,5412.557159,"Opt Int, Opt Int, Opt Int",Not a host,"1997AJ....112.294D, 2013MNRAS.434..437C",Diameter source,76.34882916666665,1.1776261111111113
HD2342,V* AQ And,HIP 2180,,00 27 31.6830,+35 35 14.495,C-N5+,Gaia DR3 366243754095469312,GAIA,6.596761,0.004924,3.867,0.015,30.9,0.77,,1.259,0.0248,794.2811755,15.64588813,330.803356,6.641362273,2806.751397,18.31320674,6085.63097,283.6865909,"Opt Int, Opt Int, Opt Int",Not a host,"1997AJ....112.294D, 2013ApJ...775...45V",2013ApJ...775...45V,6.882012499999999,35.587359722222224
HD213306,* del Cep,HIP 110991,HR  8571,22 29 10.2626,+58 24 54.697,F5Iab:+B7-8,Gaia DR3 2200153454733285248,GAIA,3.8506,0.013693,1.464185708,0.006202383,60.0,2.0,,3.5551,0.1475,281.2860398,11.67047084,44.35737191,1.849941029,5384.447472,46.29701296,1481.99317,132.5260649,"Opt Int, Opt Int, Opt Int",Not a host,"1997A&A...317..789M, 1999AJ....118.3032N, 2009MNRAS.394.1925V, https://iopscience.iop.org/article/10.3847/1538-3881/ac2431/pdf",Diameter source,337.2927608333333,58.41519361111111
V* V1426 Cyg,LEE 228,,,21 34 07.4785,+39 04 15.918,"C7,2e",Gaia DR3 1965835329142007168,GAIA,9.703927,0.022401,11.04,0.4,73.04549918,18.54448753,,1.4025,0.0933,713.0124777,47.43248782,847.7887873,64.22077308,2059.753466,135.9514724,11592.74587,3322.788105,[],Not a host,1997AJ....112.294D,"2002A&A…390…967B, 2016AJ…152..16V",323.53116041666664,39.071088333333336
HD42049,HD  42049,HIP 29196,HR  2169,06 09 32.4369,+22 11 24.954,K4III,Gaia DR3 3423506272593153152,GAIA,5.277522,0.00296,2.36,0.047,39.4,3.0,,1.7811,0.1362,561.4507888,42.9339158,142.7069631,11.27675505,3817.85533,82.01779227,3877.200042,662.400327,Lunar Occ,Not a host,https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf,Diameter source,92.38515375,22.190265
HD224935,*  30 Psc,HIP 154,HR  9089,00 01 57.6194,-06 00 50.654,M3III,Gaia DR3 2442861747380543104,GAIA,3.292785,0.003173,8.007,0.059,317.0,12.0,,7.8758,0.4105,126.9712283,6.617954903,109.4955865,5.763843988,3490.851022,35.45163883,1595.395998,176.9356352,"Opt Int, Lunar Occ",Not a host,https://iopscience.iop.org/article/10.3847/1538-3881/ac2431/pdf,Diameter source,0.4900808333333332,-6.014070555555556
HD100029,* lam Dra,HIP 56211,HR  4434,11 31 24.2216,+69 19 51.872,M0III-IIIaCa1,Gaia DR3 1061909811871141504,GAIA,3.102934,0.003213,6.376804469,0.008421839,271.0,14.0,,8.6458,0.1446,115.6630965,1.934451845,79.43636823,1.332699816,3761.336481,48.64160314,1131.768273,69.65384069,"Opt Int, Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"2003AJ....126.2502M, 2018AJ....155...30B, https://ui.adsabs.harvard.edu/abs/2018yCat..51550030B/abstract",Diameter source,172.85092333333333,69.33107555555556
HD132813,V* RR UMi,HIP 73199,HR  5589,14 57 35.0072,+65 55 56.856,M4.5III,Gaia DR3 1621259036510505344,GAIA,3.169796,0.005246,10.4441944,0.020841586,491.0,21.0,,9.8514,0.492,101.508415,5.069547496,114.1822137,5.707054423,3409.842451,36.61801181,1579.371073,171.6081713,"Opt Int, Opt Int",Not a host,"2003AJ....126.2502M, https://iopscience.iop.org/article/10.3847/1538-3881/ac2431/pdf",Diameter source,224.3958633333333,65.93246
HD130084,HD 130084,HIP 72124,HR  5510,14 45 13.7117,+32 47 18.041,M1III,Gaia DR3 1286562714855928832,GAIA,5.500243,0.002796,2.206,0.045,31.8,1.0,,4.3175,0.0363,231.6155182,1.947340663,55.02938088,1.214148286,3742.876003,48.19949687,532.5507757,18.99078454,Opt Int,Not a host,https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf,Diameter source,221.3071320833333,32.78834472222222
HD218356,*  56 Peg,HIP 114155,HR  8796,23 07 06.7418,+25 28 05.773,K0.5II:Ba1CN-2CH-0.5,Gaia DR3 2843604151972891904,GAIA,4.318158,0.002876,2.263825141,0.007903356,48.84,1.48,,5.1778,0.1118,193.1322183,4.170146009,47.08895713,1.029957741,4113.143753,31.97665387,568.700627,30.00219459,"Opt Int, Opt Int, Opt Int, Opt Int",Not a host,"2003AJ....126.2502M, 2009MNRAS.394.1925V",2002A&A…390…967B,346.77809083333335,25.468270277777776
HD197912,*  52 Cyg,HIP 102453,HR  7942,20 45 39.7531,+30 43 10.972,K0IIIa,Gaia DR3 1859330929165858560,GAIA,3.920245,0.002926,2.094,0.04,73.2,0.7,,15.3826,0.1589,65.00851612,0.671528429,14.66116209,0.318386904,4731.957608,46.58971566,96.57176775,2.198511827,Opt Int,Not a host,https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf,Diameter source,311.41563791666664,30.719714444444442
HD137853,HD 137853,HIP 75674,HR  5745,15 27 38.8731,+25 06 05.826,M1III,Gaia DR3 1222055535887409024,GAIA,5.2365,0.002795,2.494,0.045,41.1,1.2,,3.5347,0.0548,282.9094407,4.386068789,75.99155897,1.807764578,3753.303161,43.55603574,1026.916889,43.73624172,Opt Int,Not a host,https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf,Diameter source,231.91197124999994,25.101618333333334
HD9500,V* YZ Tri,HIP 7289,,01 33 54.3601,+35 36 29.521,M4III,Gaia DR3 318966158554974336,GAIA,5.862234,0.002889,2.417,0.045,29.4,0.5,,2.94,0.0383,340.1360544,4.43102411,88.54229709,2.011962101,3506.306858,35.88368417,1061.820886,33.03720901,Opt Int,Not a host,https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf,Diameter source,23.476500416666664,35.608200277777776
HD120819,HD 120819,HIP 67605,HR  5215,13 51 09.2157,+34 39 51.833,M2III,Gaia DR3 1459096361497303168,GAIA,5.128133,0.002835,2.638,0.045,44.9,1.4,,4.0973,0.0661,244.0631635,3.937367318,69.34233988,1.628066328,3731.003044,43.11054929,834.9287343,37.46269797,Opt Int,Not a host,https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf,Diameter source,207.78839874999997,34.66439805555555
HD186675,*  15 Cyg,HIP 97118,HR  7517,19 44 16.6052,+37 21 15.682,G8III,Gaia DR3 2048824680109512320,GAIA,4.633603,0.002899,1.369,0.05,35.6,1.1,,11.0494,0.0786,90.50265173,0.643791376,13.34400565,0.4965211487,4887.223373,96.90438965,91.02720349,3.096462056,Opt Int,Not a host,https://iopscience.iop.org/article/10.3847/1538-4357/ac1687/pdf,Diameter source,296.06918833333333,37.354356111111116
